"Stramenopiles",266745,,,26885891
"Rhizaria",6929,,,27831702
"Alveolata",266751,,,28632047
"Problematic_eukaryotes",,,,26928076
"Glaucophyta",664970,,,27704621
"Chloroplastida",361838,,,26876943
"Rhodophyceae",878953,,,27364466
"Excavata",2927065,,,29206655
"Euryarchaeota",635958,,,26400599
"Crenarchaeota",114216,,,26400600
"dPANN_group",,,,26844939
"Korarchaeota",266344,,,26905510
"Apusomonadidae",575898,,,9009702
"Ancyromonadidae",415970,,,9009710
"Breviatea",5246141,,
"Amoebozoa",1064655,,,31483291
"Opisthosporidia",,,,31800338
"Discicristoidea",5246837,,,27704586
"Chytridiomycetes",506248,,,31483625
"Mucoromycotina",564951,,,28715792
"Glomeromycota",385878,,,26838407
"Dikarya",,,,27723629
"Ichthyosporea",623671,,,29890873
"Filasterea",5246833,,
"Choanoflagellida",5246832,,,26925344
"Porifera",67819,,,27076898
"Ctenophora",641212,,,26793885,,50000
"Anthozoa",1084488,,,13144691
"Medusozoa",,,,26933308
"Myxozoa",412087,,,1995506
"Acoelomorpha",543718,,,31483270
"Arthropoda",632179,,,26781256
"Onychophora",1072433,,,27758968
"Tardigrada",111438,,,27784935
"Scalidophora",434620,,,27073728
"Nematomorpha",189836,,,27068365
"Nematoda",395057,,,27798719
"Chaetognatha",570366,,,26835218
"Polyzoa",400508,,,26846812
"Platyzoa",,,,29206703
"Annelida",941620,,,27739533,,45000
"Nemertea",445195,,,30775481
"Lophophorata",,,,27490559
"Mollusca",802117,,,27316388
"Echinodermata",451020,,,26780634
"Hemichordata",100746,,,27225796
"Myxiniformes",852676,,,27280570
"Petromyzontiformes",1067466,,,26178466
"Tunicata",125649,,,27724798
"Cephalochordata",176555,,,13144808
"Holocephali",550652,,,31937912
"Batoidea",195928,,,26792737
"Selachii",78477,,,26814813
"Latimeria",3621455,,,27051181
"Dipnoi",29500,,,27699705
"Polypteriformes",458427,,,27737294
"Acipenseriformes",773489,,,2005176
"Elopomorpha",229564,,,27051771
"Osteoglossomorpha",291995,,,29210051
"Otomorpha",761450,,,26807192
"Otocephala",761450,,,26807192
"Holostei",5502194,,,31401638
"Neoteleostei",108736,,,25763643
"Protacanthopterygii",1024043,,,27696803
"Stomiatii",5521753,,,27185026
"Gymnophiona",118027,,,27299974
"Salientia",991547,,,26853372
"Caudata",984716,,,24945405
"Palaeognathae",81443,,,27719688
"Clade30_",,,,22741720
"Testudines",639666,,,24909918
"Clade112_",,,,27769259
"Clade114_",,,,2006334
"GALLIFORMES",837585,,,27727795
"ANSERIFORMES",241841,,,26823956
"Clade166_",,,,24917412
"Clade34_",,,,26814956
"Clade265_",,,,5817977
"Clade266a_",,,,27364163
"Clade109_",,,,24870904
"Tachyglossidae",344064,,,27725679
"Pan",417957,,,27252520
"Gorilla",417969,,,26866836
"Pongo",417949,,,26794481
"Lorisiformes",702145,,,27377300
"_Lemurs_minus_ayeaye",,,,27758473
"Pitheciidae",909605,,,27801330
"Atelidae",1056467,,,29206543
"Cebidae",489215,,,27050015
"Callitrichidae",1015234,,,26829447
"Aotus",791708,,,27121231
"Papionina",,,,26839037
"Macaca",268324,,,29733214
"Clade3192_",,,,26839037
"Cercopithecini",,,,21938458
"Clade2591_",,,,21938458
"Colobina",,,,26820945
"Clade2593_",,,,26820945
"Presbytina",,,,27721302
"Clade2594_",,,,27721302
"Hylobatidae",166544,,,27738361
"SCANDENTIA",574734,,,27704397
"DERMOPTERA",987673,,,27702014
"Tarsius",339047,,,27694501
"TARSIIFORMES",702151,,,27694501
"Castoridae",835319,,,25611085
"Geomyoidea",,,,27074085
"Sciuridae",384218,,,22496976
"Gliridae",4941180,,,27731881
"Leporidae",644258,,,26653157
"Ochotonidae",644239,,,21945266
"Clade901_",,,,23310389
"ANOMALUROMORPHA",,,,26844563
"MYOMORPHA",,,,17729542
"HystricomorphsMinusEarlyBranch_",,,,27819768
"VERMILINGUA",495016,,,26879796
"Clade119_",,,,26879983
"FOLIVORA",495015,,,24924561
"Cetartiodactyla",3615249,,,31329026
"PERISSODACTYLA",541948,,,26814216
"Insectivora",796664,,,23276063
"PHOLIDOTA",644252,,,21946578
"CARNIVORA",44565,,,27081657
"Pteropodidae",574742,,,27753255
"Microchiroptera",603783,,,27735869
"PROBOSCIDEA",226176,,,26808924
"HYRACOIDEA",561107,,,26817197
"SIRENIA",226183,,,27159909
"MACROSCELIDEA",604023,,,26825618
"AFROSORICIDA",5792483,,,31334713
"DIDELPHIMORPHIA",277697,,,29206898
"PERAMELEMORPHIA",852221,,,27050173
"DIPROTODONTIA",277679,,,26797569
"PAUCITUBERCULATA",277698,,
"DASYUROMORPHIA",277678,,,26864848
