"Tetrapodomorpha",,"Tetrapods"
"Tetrapoda",229562,"Tetrapods"
"Dipnoi",29500,"Lungfishes"
"Latimeria",3621455,"Coelacanths"
"Polypteriformes",458427,"Bichirs and Reedfish"
"Acipenseriformes",773489,"Sturgeons and Paddlefishes"
"Lepisosteiformes",904125,"Gars"
"Holostei",5502194,"Bowfin and Gars"
"Elopiformes",329625,"Tarpons, Tenpounders, and Ladyfishes"
"Albuliformes",133416,"Bonefishes"
"Notacanthiformes",925748,"Deep Sea Halosaurs and Spiny Eels"
"Anguilliformes",854188,"Eels"
"Elopomorpha",229564,"Eels, Tarpons, Tenpounders, and Ladyfish"
"Hiodontiformes",5521757,"Mooneyes"
"Osteoglossiformes",496754,"Bonytongues: Arowana, Arapaima, Butterflyfish, Elephantfishes, Old World Knifefishes"
"Osteoglossomorpha",291995,"Mooneyes and Bonytongues"
"Clupeiformes",400458,"Herrings, Sardines, Anchovies, Shads, Menhaden"
"Alepocephaliformes",120101,"Slickheads"
"Gonorynchiformes",460873,"Milkfishes and Beaked Sandfishes"
"Cypriniformes",1005931,"Minnows, Carps, Suckers, Loaches,"
"Gymnotiformes",216180,"American Knifefishes"
"Characiformes",701511,"Characins, Headstanders, Tetras, Hatchetfishes, Piranhas, Trahiras, African Pikes"
"Siluriformes",701516,"Catfishes"
"Characiphysae",285825,"American Knifefishes, Characins, and Catfishes"
"Otophysi",285818,"Carps, American Knifefishes, Characins, and Catfishes"
"Ostariophysi",803544,"Milkfishes, Carps, American Knifefishes, Characins, and Catfishes"
"Otomorpha",761450,"Herrings, Slickheads, Milkfishes, Carps, American Knifefishes, Characins, and Catfishes"
"Argentiniformes",757259,"Herring Smelts, Barreleyes, Pencilsmelts"
"Galaxiiformes",138716,"Galaxids"
"Esociformes",216172,"Pikes"
"Salmoniformes",216171,"Salmons and Trouts"
"Protacanthopterygii",1024043,"Argentines, Galaxids, Pikes, Trout"
"Osmeriformes",496756,"Freshwater Smelts"
"Stomiatiformes",701557,"Dragonfishes"
"Stomiatii",5521753,"Dragonfishes and Freshwater Smelts"
"Ateleopodiformes",292503,"Jellynose Fishes"
"Aulopiformes",19307,"Lizardfishes"
"Myctophiformes",19303,"Lanternfishes"
"Lampridiformes",617745,"Opahs, Oarfishes, Ribbonfishes"
"Percopsiformes",326254,"Trout-perches, Pirate Perch, Cavefishes"
"Zeiformes",816143,"Dories"
"Gadiformes",114162,"Cods, Grenadiers, and Hakes"
"Gadariae",5553758,"Cods, and Thread-tails"
"Zeiogadaria",5551468,"Dories, Cods, and Thread-tails"
