"Amphibia",544595,"Amphibians"
"Amniota",229560,"Amniotes"
"Mammalia",244265,"Mammals"
"Gymnophiona",118027,"Caecilians"
"Squamata",35888,"Lizards and Snakes"
"MONOTREMATA",962396,"Monotremes"
"Salientia",991547,"Frogs and toads"
"Caudata",984716,"Salamanders and Newts"
"RHINATREMATIDAE",128153,"Neotropical Tailed Caecilians"
"Testudines",639666,"Turtles"
"Tachyglossidae",344064,"Echidnas"
"Eutheria",683263,"Placental mammals"
"Theria",229558
"Marsupialia",16033,"Marsupials"
"LEIOPELMATIDAE",611960
"CAECILIIDAE",118029,"Common Caecilians"
"ICHTHYOPHIIDAE",639653,"Asiatic Tailed Caecilians"
"Aves",81461,"Birds"
"Clade30_",,"Crocodilians"
"Clade34_",,"Geckos and Legless Lizards"
"Zaglossus",565577
"Afrotheria",746703,"Elephants, Elephant shrews and more"
"Clade36_"
"Boreoeutheria",5334778
"DIDELPHIMORPHIA",277697,"Opossums"
"Clade41_",,"Burrowing Toad, Surinam Toads and more"
"Leiopelma",611959,"New Zealand and North American Primitive Frogs"
"Ascaphus",485832,"Tailed Frogs"
"HYNOBIIDAE",336749,"Asiatic Salamanders"
"CRYPTOBRANCHIDAE",336750,"Giant Salamanders"
"Uraeotyphlus",498526,"Indian Caecilians"
"Palaeognathae",81443,"Ratites and tinamous"
"NEOGNATHAE",241846
"Clade57_",,"Crocodiles"
"Clade65_",,"Geckos"
"Xenarthra",847764,"Armadillos, Anteaters and Sloths"
"PAUCITUBERCULATA",277698,"Shrew Opossums"
"PIPIDAE",465087
"Rhyacotriton",459009,"Torrent Salamanders"
"TINAMIFORMES",292467,"Tinamous"
"Clade95_",,"Kiwis, Rheas, Ostrich and more"
"GALLOANSERAE",5839486,"Fowl"
"Clade98_",,"Caimans"
"Alligator",335593,"Alligators"
"Clade109_",,"Monitor Lizards, Chameleons, Iguanas and more"
"Clade111_",,"Worm Lizards"
"Clade112_",,"Snakes and worm lizards"
"Serpentes",186816,"Snakes"
"Clade113_",,"Geckos"
"Clade114_",,"Skinks and other lizards"
"PYGOPODIDAE",269284,"Legless Lizards"
"Euarchontoglires",392222,"Rodents, primates, and more"
