"Cheirogaleidae",885700,"Dwarf and mouse lemurs"
"Tarsius",339047,"Tarsiers"
"PLATYRRHINI",339033,"New world monkeys"
"Pitheciidae",909605,"Titis, Sakis, and Uakaris"
"Callicebus",842878,"Titi monkeys"
"Cebidae",489215,"Capuchins and Squirrel monkeys"
"Callitrichidae",1015234,"Marmosets and Tamarins"
"Aotus",791708,"Night monkeys"
"CATARRHINI",842867,"Old World monkeys and Apes"
"Cercopithecidae",842868,"Old world monkeys"
"Papionini",,"Macaques, baboons, and more"
"NonMacacaClade_",,"Macaques, baboons, and more"
"Homininae",312031,"African apes"
"Papionina",,"Mangabeys, baboons, drills"
"Cercopithecini",,"Vervets, guenons, ..."
"Colobina",,"Colobus-type monkeys"
"Presbytina",,"Langurs, Surilis, and more"
"Hoolock",712902,"Hoolock gibbons"
