"Most_Carcharhinicae_",,"Carcharhinicae (minus some species)"
"Holocephali",550652,"Chimaeras"
"Batoidea",195928,"Rays, skates, and sawfish"
"Selachii",78477,"Sharks"
"GNATHOSTOMATA",278114,"Jawed vertebrates"
"Myxiniformes",852676,"Hagfishes"
"Petromyzontiformes",1067466,"Lampreys"
"Vertebrata",801601,"Vertebrates"
"ChordataMinusAmphioxus_"
"Chordata",125642,"Chordates"
"Deuterostomia",147604,"Deuterostomes"
"Nephrozoa",,""
"Bilateria",117569,"Bilaterally symmetrical animals"
"Tunicata",125649,"Tunicates"
"Cephalochordata",176555,"Lancelets"
"Ambulacraria",,"Starfish and more"
"Echinodermata",451020,"Starfishes, sea urchins, and more"
"Hemichordata",100746,"Acorn worms"
"Protostomia",189832,"Protostomes"
"Arthropoda",632179,"Crustaceans, insects, and more"
"Onychophora",1072433,"Velvet worms"
"Tardigrada",111438,"Water bears"
"Scalidophora",434620,"Penis worms and more"
"Nematomorpha",189836,"Hairworms"
"Nematoda",395057,"Roundworms"
"Chaetognatha",570366,"Arrow worms"
"Polyzoa",400508,"Goblet worms"
"Platyzoa",,"Flatworms, Gastrotrichs, rotifers, and more"
"Annelida",941620,"Segmented worms"
"_nonMolluscTrochozoa",,"Other trochozoa"
"Nemertea",445195,"Ribbon worms"
"Lophophorata",,"Moss animals, Brachiopods, and Phoronids"
"Mollusca",802117,"Molluscs"
"Acoelomorpha",543718,"Acoelomorph flatworms"
"CNIDARIA",641033,"Jellyfish, corals, and more"
"Anthozoa",1084488,"Corals, sea anemones"
"Medusozoa",,"Jellyfishes"
"Myxozoa",412087,"Myxozoans"
"Ctenophora",641212,"Comb jellies"
"BilatCnid_",,""
"BiCnCt_",,""
"BiCnCtPl_",,""
"Porifera",67819,"Sponges"
"Metazoa",691846,"Animals"
"CollarClade_",,""
"Choanoflagellida",5246832,"Choanoflagellates"
"Filozoa",,"Animals and more"
"Holozoa",5246131,""
"Opisthokonta",332573,"Animals, Fungi, and more"
"Amorphea_minus_amoebozoa_",,""
"Amorphea",,""
"Amorphea_plus",,""
"Eukaryota",304358,"Eukaryotes"
"LE_clade_",,""
"TAK_clade_",,"Koryarchaeota, Thaumarchaeota, and Aigarchaeota"
"TACK_group",,"‘TACK’ archaeal group"
"TACKLE_clade_",,""
"dPANN_group",,"‘dPANN’ archaeal group"
"TACKLED_clade_",,""
"AllArchaeaAndEukaryotes_",,"Archaea and Eukaryotes"
"Euryarchaeota",996421,
"Filasterea",5246833,""
"Ichthyosporea",623671,""
"Opisthosporidia",,"Microsporidia, Cryptomycota, and Aphelida"
"Microsporidia",16113,"Microsporidia"
"Discicristoidea",5246837,"Nuclearids and Fonticula"
"Chytridiomycetes",506248,"Chitrid fungi"
"Mucoromycotina",564951,"Pin moulds"
"Glomeromycota",385878,"AM fungi and more"
"Dikarya",,"Most fungi"
"Amoebozoa",1064655,"True amoebas"
"Bikonta",,"Plants, alveolates, brown algae, and more"
"Excavata",2927065,"Excavates"
"Eukaryotes_minus_Excavates",,"Most eukaryotes"
"Korarchaeota",266344,""
"Euryarchaeota",635958,"Salt archaea, methanogens, and more"
"Crenarchaeota",114216,"Sulfolobus and more"
"Apusomonadidae",,"Apusomonads"
"Ancyromonadidae",415970,"Ancyromonads"
"Breviatea",5246141,"Breviata and more"
"SAR",5246039,"‘SAR’ group"
"Chloroplastida",361838,"Green plants"
"Embryophyta",,"Land plants"
"Tracheophyta",,"Vascular plants"
"Spermatophyta",,"Seed plants"
"Magnoliophyta",99252,"Flowering plants"
"Rhodophyceae",878953,"Red algae"
"Glaucophyta",664970,"Glaucophytes"
"Archaeplastida",5268475,"Plants"
"Problematic_eukaryotes",,"Haptophytes, Centrohelids, Telonemids, Picozoa"
"Alveolata",266751,"Ciliates, Dinoflagellates, Malaria, and more"
"Rhizaria",6929,"Foraminifera, Radiolaria, and more"
"Stramenopiles",266745,"Brown algae and more"
